sala,tempo,taxa,recompensa,passos
salas/sala1.txt,0.375,100.0,94.33,5.67
salas/sala2.txt,0.623,85.71,72.86,12.71
salas/sala3.txt,9.175,27.78,-56.33,83.39
salas/sala3.1.txt,8.192,39.13,-36.43,74.96
salas/sala3.2.txt,11.044,45.83,-23.04,68.33
salas/sala4.txt,134.282,2.94,-386.76,388.74
salas/sala5.txt,116.541,9.52,-353.88,362.5
salas/sala9.txt,84.766,23.08,-325.21,308.62
salas/sala10.txt,3.683,95.65,-41.22,22.91
salas/sala11.txt,3.948,84.21,-36.21,36.05
salas/sala12.txt,15.872,80.0,-29.74,52.4
