sala,tempo,taxa,recompensa,passos
salas/sala1.txt,0.325,100.0,97.33,2.67
salas/sala2.txt,0.528,100.0,96.0,4.0
salas/sala3.txt,16.95,44.44,-20.06,63.94
salas/sala3.1.txt,4.352,100.0,83.91,16.09
salas/sala3.2.txt,1.699,100.0,91.21,8.79
salas/sala4.txt,36.036,100.0,50.03,49.97
salas/sala5.txt,109.771,76.19,-65.76,141.71
salas/sala9.txt,96.33,84.62,-124.03,143.54
salas/sala10.txt,16.164,78.26,-54.74,44.78
salas/sala11.txt,16.412,68.42,-25.84,41.32
salas/sala12.txt,9.702,100.0,50.29,32.57
