sala,tempo,taxa,recompensa,passos
salas/sala1.txt,0.04,100.0,98.0,2.0
salas/sala2.txt,0.046,100.0,97.71,2.29
salas/sala3.txt,0.264,22.22,-57.06,78.5
salas/sala3.1.txt,0.111,100.0,92.35,7.65
salas/sala3.2.txt,0.076,100.0,95.08,4.92
salas/sala4.txt,0.632,52.94,-143.03,195.5
salas/sala5.txt,1.142,19.05,-306.1,324.33
salas/sala6.txt,8.198,6.06,-2344.03,2349.15
salas/sala7.txt,12.497,8.51,-2279.85,2287.45
salas/sala8.txt,17.299,0.0,-3001.0,3000.0
salas/sala9.txt,1.45,25.64,-283.72,298.64
salas/sala10.txt,0.27,47.83,-24.83,72.13
salas/sala11.txt,0.253,63.16,15.79,47.0
salas/sala12.txt,0.249,82.86,54.86,27.83
